refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.66;44-47;.Person.toString();44-47;.People.toString()
Change Method Signature;method;0.66;40-42;.Person.setPhone(String);40-42;.People.setPhone(String)
Change Method Signature;method;0.69;32-34;.Person.setEmail(String);32-34;.People.setEmail(String)
Change Method Signature;method;0.66;16-18;.Person.setId(int);16-18;.People.setId(int)
Change Method Signature;method;0.66;36-38;.Person.getPhone();36-38;.People.getPhone()
Change Method Signature;method;0.66;28-30;.Person.getEmail();28-30;.People.getEmail()
Change Method Signature;method;0.68;24-26;.Person.setName(String);24-26;.People.setName(String)
Change Field Signature;field;1.0;2-2;.Person.id;2-2;.People.id
Change Field Signature;field;1.0;3-3;.Person.name;3-3;.People.name
Change Field Signature;field;1.0;5-5;.Person.phone;5-5;.People.phone
Change Field Signature;field;1.0;4-4;.Person.email;4-4;.People.email
